peak_label,hierarchical_cluster,avg_migration_speed,avg_migration_direction,event_count
2009-09-02,3,167.11808975539037,178.00475407330347,389
2011-06-08,2,127.45835666550852,180.51305723405116,250
2016-02-03,4,124.67764894092942,192.94163571997078,207
2017-12-06,1,204.81940797315937,171.81006644936753,405
2019-05-15,3,183.1776321513636,174.1242639797317,409
2021-04-14,1,168.56996745406857,187.1010290784559,318
2022-10-12,3,194.48318343069195,179.37384269727994,446
2024-04-17,4,144.24665899623557,171.9287057362816,211
2024-04-24,1,189.0000584743772,174.32715493247693,245
2024-10-02,4,163.94822688530158,178.79800776030504,236
